CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
03-MAY-19 07.30.00 AM,1.4
03-MAY-19 07.15.00 AM,0.83
03-MAY-19 07.00.00 AM,0.69
03-MAY-19 06.45.00 AM,0.39
03-MAY-19 06.30.00 AM,0.57
03-MAY-19 06.15.00 AM,0.56
03-MAY-19 06.00.00 AM,0.4
03-MAY-19 05.30.00 AM,0.17
03-MAY-19 05.45.00 AM,0.23
03-MAY-19 05.15.00 AM,0.17
03-MAY-19 05.00.00 AM,0.2
03-MAY-19 04.45.00 AM,0.18
03-MAY-19 04.30.00 AM,0.14
03-MAY-19 04.15.00 AM,0.33
03-MAY-19 04.00.00 AM,0.23
03-MAY-19 03.45.00 AM,0.26
03-MAY-19 03.15.00 AM,0.32
03-MAY-19 03.30.00 AM,0.14
03-MAY-19 02.45.00 AM,0.24
03-MAY-19 03.00.00 AM,0.29
03-MAY-19 02.30.00 AM,0.24
03-MAY-19 02.00.00 AM,0.55
03-MAY-19 02.15.00 AM,0.36
03-MAY-19 01.45.00 AM,0.28
03-MAY-19 01.30.00 AM,1.08
03-MAY-19 01.00.00 AM,1
03-MAY-19 01.15.00 AM,1.01
03-MAY-19 12.45.00 AM,1
03-MAY-19 12.00.00 AM,1.01
03-MAY-19 12.15.00 AM,1.31
03-MAY-19 12.30.00 AM,1.24
03-MAY-19 12.00.00 AM,1.01
04-MAY-19 11.45.00 PM,1.19
04-MAY-19 11.55.00 PM,0.95
04-MAY-19 11.50.00 PM,0.85
04-MAY-19 11.30.00 PM,2.08
04-MAY-19 11.00.00 PM,1.46
04-MAY-19 11.15.00 PM,1.32
04-MAY-19 10.30.00 PM,1.46
04-MAY-19 10.45.00 PM,1.7
04-MAY-19 10.15.00 PM,1.42
04-MAY-19 09.45.00 PM,1.87
04-MAY-19 10.00.00 PM,1.88
04-MAY-19 09.15.00 PM,2.36
04-MAY-19 09.30.00 PM,2.02
04-MAY-19 08.45.00 PM,3.18
04-MAY-19 09.00.00 PM,1.98
04-MAY-19 08.30.00 PM,2.26
04-MAY-19 08.00.00 PM,2.81
04-MAY-19 08.15.00 PM,2.52
04-MAY-19 07.45.00 PM,2.21
04-MAY-19 07.15.00 PM,2.18
04-MAY-19 07.30.00 PM,2.14
04-MAY-19 06.45.00 PM,1.59
04-MAY-19 07.00.00 PM,2.22
04-MAY-19 06.15.00 PM,1.37
04-MAY-19 06.30.00 PM,1.14
04-MAY-19 06.00.00 PM,2.1
04-MAY-19 05.30.00 PM,1.89
04-MAY-19 05.45.00 PM,2.25
04-MAY-19 05.15.00 PM,1.5
04-MAY-19 04.45.00 PM,1.5
04-MAY-19 05.00.00 PM,1.23
04-MAY-19 04.30.00 PM,1.46
04-MAY-19 04.15.00 PM,1.64
04-MAY-19 03.45.00 PM,1.91
04-MAY-19 04.00.00 PM,1.27
04-MAY-19 03.30.00 PM,0.94
04-MAY-19 03.00.00 PM,1.24
04-MAY-19 03.15.00 PM,1.53
04-MAY-19 02.30.00 PM,1.59
04-MAY-19 02.45.00 PM,1.2
04-MAY-19 02.15.00 PM,1.72
04-MAY-19 01.45.00 PM,1.2
04-MAY-19 02.00.00 PM,1.03
04-MAY-19 01.30.00 PM,1.35
04-MAY-19 01.00.00 PM,1.51
04-MAY-19 01.15.00 PM,1.05
04-MAY-19 12.30.00 PM,1.51
04-MAY-19 12.45.00 PM,1.15
04-MAY-19 12.15.00 PM,1.28
04-MAY-19 12.00.00 PM,1.07
04-MAY-19 11.45.00 AM,0.89
04-MAY-19 11.30.00 AM,0.89
04-MAY-19 11.15.00 AM,1.22
04-MAY-19 10.45.00 AM,1.14
04-MAY-19 11.00.00 AM,1.5
